timestamp,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,mag_x0,mag_y0,mag_z0,mag_theta0,mag_phi0
5041,37.2848,43.2522,-65.9316,2.87886,-7.11363,-76.3513,-18.7792,0.367896,-138.137,-28.0712,-10.9736,-215.964,2.05454,25.1558,-90.2581,6.22061,0.702384,-61.1415,-26.0056,-35.3291,-79.4202,11.4557,14.497,-120.581,4.91669,5.50883,-92.9114,11.1492,9.64693,-64.7169,-7.65127,4.56237,-100.523,37.4477,25.151,-71.5388,10.0144,1.41208,-81.4599,-38.0522,-17.0535,-120.174,10.091,1.86892,-76.9084,-13.0943,-14.4699,-61.7547,,,,,
5009,-18.0573,46.5186,-85.848,-0.253818,1.59022,-123.135,-7.04699,4.72167,-160.937,-18.506,-8.63247,-224.827,-27.2478,29.3901,-96.222,-0.760423,16.4572,-82.5121,-20.6652,-24.9766,-94.1091,6.23592,8.34634,-127.329,-9.16419,7.48628,-94.3874,4.71343,18.7331,-71.5566,-6.58011,12.3749,-107.041,40.2024,30.2597,-75.3562,2.97335,2.10794,-81.4444,-41.9935,-12.7539,-122.585,9.52814,6.7872,-79.0768,-12.7537,-10.3481,-64.1214,0.03,0.0375,0.055,1.5707963267948966,1.5707963267948966
5060,92.6439,41.2007,-48.0092,6.91726,-15.0636,-28.3448,-30.0266,-3.52474,-114.562,-36.8626,-12.3964,-206.025,32.1523,21.4849,-83.6417,13.119,-14.6221,-39.3928,-31.5792,-45.6133,-65.2213,16.5129,20.6379,-112.846,18.2824,3.58558,-90.7776,17.1733,0.981625,-57.1596,-8.01037,-3.8456,-94.3444,34.4969,20.2151,-67.4942,16.2403,0.519704,-80.0024,-33.9548,-21.2151,-117.234,11.476,-3.04718,-73.2014,-13.8909,-18.4877,-59.7238,0.03,0.0375,0.055,1.5707963267948966,-1.5707963267948966
5068,34.2307,42.472,-65.6476,0.528704,-9.34605,-76.337,-20.2846,-2.61143,-139.301,-28.272,-13.3104,-216.305,-3.79942,24.1329,-90.8656,2.09384,-3.39749,-63.1213,-27.7153,-39.8571,-82.3844,15.1901,14.4863,-121.658,-7.17277,2.96379,-93.9075,4.48795,1.4031,-69.8296,-7.94517,-3.97004,-106.246,39.181,19.7057,-75.102,-16.4251,-4.94198,-85.677,-46.335,-33.3706,-138.145,13.7256,-9.27519,-88.4877,-7.92261,-20.804,-69.0699,0.18,0.0375,0.055,1.5707963267948966,1.5707963267948966
5012,40.569,43.5774,-65.846,5.55743,-5.44462,-74.87,-17.596,2.93321,-137.132,-27.4992,-8.29261,-214.945,7.98095,25.8618,-89.8918,10.1006,4.43656,-59.7225,-24.8509,-30.5131,-77.4973,8.27346,15.0436,-118.305,16.1568,7.37656,-91.6203,17.7121,17.8428,-58.8939,-6.76579,11.9943,-94.9053,35.5015,30.3751,-67.661,35.9534,6.15461,-76.6988,-28.9651,-1.00436,-103.392,7.10339,12.5816,-64.4781,-18.0085,-8.89576,-55.6394,0.18,0.0375,0.055,1.5707963267948966,-1.5707963267948966
5014,37.6276,45.2608,-65.2204,2.75864,-4.85156,-74.6565,-19.8603,2.97623,-137.34,-30.3484,-8.94578,-215.398,3.87828,27.8388,-89.0307,6.64146,4.1461,-59.0518,-26.9942,-30.8101,-77.9292,7.43399,18.1211,-117.761,6.94241,8.5137,-90.5748,13.5122,15.0065,-60.9627,-6.73347,11.7652,-95.1242,32.1301,33.2042,-64.9826,13.8305,4.24429,-77.5358,-32.17,-11.0986,-114.04,14.8999,12.3201,-64.368,-18.9083,1.15299,-44.8407,0.18,0.17250000000000001,0.055,1.5707963267948966,1.5707963267948966
5069,36.6684,40.8438,-66.9524,2.94846,-9.52377,-76.7424,-17.7677,-2.50512,-139.372,-25.6277,-13.0286,-217.038,1.37898,22.3568,-91.7748,5.26941,-3.10265,-62.8798,-25.4068,-39.8921,-82.623,15.5922,11.2294,-122.571,1.882,2.17237,-95.2475,8.37962,4.62243,-68.0737,-7.38234,-3.57863,-105.924,42.3682,16.6311,-77.5083,5.42799,-2.02012,-84.3379,-43.1372,-22.6849,-126.612,5.48329,-9.40076,-88.2878,-7.82179,-30.6385,-79.8307,0.18,0.17250000000000001,0.055,1.5707963267948966,-1.5707963267948966
5067,42.8627,42.5695,-61.7172,11.3853,-8.17134,-66.0729,-7.37388,-2.72642,-116.351,-30.6246,-17.6566,-170.806,6.60717,23.1137,-86.8584,11.9982,-4.43858,-54.3536,-21.0139,-44.7061,-65.9767,26.6619,21.3698,-98.1526,6.86112,2.76052,-90.3784,13.7207,4.74033,-60.2191,-6.92293,-3.51871,-93.6952,31.398,15.7276,-63.5298,11.0059,-1.74261,-79.2799,-36.9047,-20.2624,-117.739,9.16003,-3.46908,-73.6173,-17.2665,-19.574,-59.5349,0.03,0.17250000000000001,0.055,1.5707963267948966,1.5707963267948966
5007,31.4729,43.6941,-69.8316,-6.40556,-6.00418,-84.9717,-30.9312,3.53065,-160.279,-26.5917,-2.83107,-261.535,-1.94824,27.6187,-93.467,0.0785316,5.38727,-67.7706,-31.3038,-25.8842,-94.0922,-4.76752,8.1398,-142.316,1.7013,8.38172,-94.8647,8.27156,14.6136,-68.3112,-7.91424,12.4337,-106.241,43.6479,34.641,-78.5554,8.10425,3.59937,-82.5027,-38.2916,-12.5867,-122.374,11.5629,6.80433,-78.9212,-8.91683,-10.0219,-64.6263,0.03,0.17250000000000001,0.055,1.5707963267948966,-1.5707963267948966
5066,40.7782,53.6441,-53.2793,-3.78163,7.32369,-57.8047,-43.0948,4.56801,-131.398,-45.8555,-24.9425,-229.772,12.2657,32.6881,-70.2645,2.83797,13.8677,-21.1748,-73.9785,-33.0739,-59.7235,28.6917,41.4594,-163.813,15.063,1.95245,-71.1761,8.03001,2.10338,-20.7532,-60.6122,-1.58103,-79.1928,10.6087,33.2334,-122.668,14.4736,-8.71122,-67.8841,-46.0891,-31.7082,-98.4349,-20.8593,-4.44442,-68.5911,-32.5569,0.115018,-82.724,0.09,0.11249999999999999,0.055,1.5707963267948966,1.5707963267948966
