timestamp,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,mag_x0,mag_y0,mag_z0,mag_theta0,mag_phi0
5043,37.3744,43.3192,-65.4848,3.05508,-6.89627,-76.3586,-19.2231,-0.435545,-138.526,-27.6636,-10.1578,-216.1,2.38443,24.6448,-90.5241,5.75208,0.847288,-62.1055,-26.021,-35.3612,-80.1562,11.5518,14.7662,-119.815,4.6937,5.7218,-92.734,11.0663,9.7033,-65.0244,-7.18963,4.51038,-99.9775,37.0675,24.815,-71.5269,9.61248,1.02184,-80.4692,-38.0791,-16.9449,-120.4,10.199,1.67933,-76.163,-13.339,-14.426,-61.7347,,,,,
5066,-0.349446,12.4651,26.4616,-36.3347,-19.7191,-54.4043,-36.6802,-4.23587,-137.974,-35.2884,-12.299,-217.675,-11.8792,-15.259,-68.3154,-13.741,-18.7953,-56.383,-37.3871,-42.5739,-82.4649,14.4193,20.4163,-122.086,0.982568,-12.6412,-92.8872,3.96913,-2.34946,-67.2747,-12.6046,-1.53995,-102.945,34.2158,22.5383,-73.9058,8.42224,-6.82217,-84.3879,-40.8662,-22.4785,-123.363,7.66389,-1.8801,-79.017,-14.7588,-16.3675,-63.6284,0.03,0.03,0.055,0,0
5067,0.0393986,12.0039,25.7657,-36.5638,-19.793,-54.1102,-36.8066,-4.31319,-137.663,-35.2563,-12.0074,-217.6,-12.0242,-15.0944,-68.7464,-13.9979,-18.7795,-56.3556,-37.3639,-43.0766,-81.456,14.3319,20.2896,-122.243,0.909027,-12.6873,-92.9867,3.94208,-2.35089,-66.7304,-12.6342,-1.35067,-103.33,33.6543,22.386,-73.7437,8.54409,-7.02026,-83.852,-40.6632,-22.3981,-123.267,7.87241,-2.09384,-79.1089,-15.0134,-16.5782,-63.6233,0.03,0.03,0.055,0,0
5046,37.4634,46.2223,-67.9388,2.41095,-4.65632,-77.8546,-19.7275,2.07208,-139.905,-28.3019,-9.26859,-216.751,2.4811,31.3757,-93.4902,4.74235,5.92621,-64.0892,-27.6976,-32.264,-81.8274,9.48699,16.2824,-121.981,3.10185,21.3336,-93.69,6.40289,20.0232,-66.4582,-11.5591,9.84215,-102.737,34.0997,27.6868,-73.5934,2.93106,38.0601,-65.9277,-52.2759,2.33202,-115.96,0.146365,8.79087,-77.6878,-17.9561,-11.6025,-63.6844,0.18,0.03,0.055,0,0
5013,37.2288,46.4799,-67.8984,2.70368,-4.51581,-77.8975,-19.9155,1.92988,-139.719,-28.5939,-8.9639,-216.258,2.52315,31.3394,-93.9806,4.839,6.12518,-63.6281,-27.8417,-32.0858,-82.017,9.70024,16.38,-121.319,3.12589,21.1924,-93.2838,6.13567,20.3038,-66.1577,-11.6054,9.80893,-102.193,34.0731,27.7075,-73.2882,2.97067,38.1824,-65.6735,-52.2494,2.68804,-115.99,0.300958,8.67508,-77.6585,-18.104,-11.6692,-63.5122,0.18,0.03,0.055,0,0
5007,37.7577,44.0727,-67.0156,3.51204,-5.7089,-77.2631,-18.4473,1.85575,-140.326,-27.3269,-8.00506,-216.938,3.49012,25.9623,-91.9902,7.51758,2.70711,-63.2106,-23.8052,-32.3226,-82.6921,6.82871,13.1983,-122.314,6.5018,6.65827,-94.1333,13.8262,12.3594,-66.8494,-2.96203,9.69079,-102.325,42.258,35.0992,-73.0394,12.2217,2.15215,-81.983,-33.1779,-14.3317,-122.472,19.9507,8.75969,-77.8376,2.52119,4.70408,-58.3762,0.18,0.18,0.055,0,0
5043,37.8716,44.1239,-66.7014,3.36286,-5.96232,-77.2088,-18.2193,1.66893,-140.337,-27.3058,-7.81681,-217.095,3.57362,26.0872,-91.8394,7.08285,2.63865,-63.2119,-24.1191,-32.2225,-82.2734,6.66091,13.074,-122.368,6.38448,6.81744,-94.1099,13.8905,12.0935,-67.077,-3.24869,9.82995,-102.011,42.2986,35.0773,-73.4394,12.2377,1.76616,-82.0851,-32.9315,-13.8564,-122.196,19.877,9.07079,-77.9537,2.72994,4.65327,-58.594,0.18,0.18,0.055,0,0
5049,40.8174,43.1449,-67.6945,10.593,-6.81505,-78.1227,-1.3081,-1.2014,-137.264,11.4964,-16.021,-191.962,5.49296,24.2534,-92.5488,11.9698,-1.19514,-63.3931,-13.9769,-40.5823,-80.1913,29.6839,-6.24462,-111.262,6.72172,4.47008,-94.3337,14.6455,7.21531,-66.6695,-1.30684,-1.36197,-101.357,44.4392,12.6619,-71.8238,11.0578,-0.708231,-81.4685,-35.9168,-18.9462,-122.113,13.4426,-2.46336,-78.3392,-10.1591,-21.2569,-63.1353,0.03,0.18,0.055,0,0
5045,40.684,42.9839,-67.4128,10.7053,-7.00505,-78.0862,-1.34777,-1.54738,-137.311,11.5056,-16.1206,-192.208,5.39838,24.3191,-92.2339,12.0253,-1.07738,-63.5167,-14.0262,-40.5218,-80.4358,30.0386,-6.25151,-111.651,6.84512,4.35357,-94.1527,14.6423,7.17271,-66.7821,-1.24546,-1.44527,-101.649,44.6876,12.7751,-71.4582,11.33,-0.605713,-81.5766,-35.9298,-18.6092,-121.85,13.2935,-2.56462,-77.93,-10.0766,-21.1196,-62.9764,0.03,0.18,0.055,0,0
5035,45.302,53.0073,-67.0704,11.2245,12.592,-73.7929,-18.9488,25.2996,-134.139,-35.5715,7.80982,-215.379,21.1869,37.1357,-87.4458,33.3566,33.8977,-39.7773,-24.8287,17.6979,-35.2284,-20.1028,40.958,-98.7929,32.6846,9.49665,-83.5273,62.3689,21.6031,-11.8647,-7.14481,22.1582,23.0412,-15.1395,33.8132,-16.2716,32.0797,-8.0443,-75.0925,-5.49769,-44.1858,-86.1981,7.4797,-48.4349,-7.54737,-50.6726,-44.2707,-28.4137,0.105,0.105,0.055,0,0
5031,45.4793,52.9825,-67.1603,11.6064,12.6066,-74.0649,-19.1233,25.2107,-134.608,-35.4626,7.70878,-215.236,21.0131,37.2317,-87.5033,33.1975,34.1271,-39.7033,-24.87,17.9839,-35.5496,-20.3357,41.2147,-98.0647,32.7647,9.12364,-83.9549,62.3836,21.5825,-11.6849,-7.14322,22.3155,22.9239,-15.3067,33.7894,-16.1887,31.8287,-8.01634,-75.1226,-5.13898,-44.2459,-85.9414,7.32242,-48.2029,-7.39423,-50.7559,-44.1175,-28.4245,0.105,0.105,0.055,0,0
