timestamp,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,mag_x0,mag_y0,mag_z0,mag_theta0,mag_phi0
5047,37.345,43.082,-65.2963,3.00205,-7.48737,-75.9212,-18.3764,0.135508,-137.67,-27.6461,-11.1768,-216.195,2.30718,24.7881,-90.3345,6.0659,0.925168,-61.0227,-26.4165,-35.3535,-79.8482,11.8967,14.8223,-120.324,4.89936,5.14302,-93.0881,10.9569,9.66802,-65.2107,-7.05579,3.98797,-100.367,37.2665,25.0186,-71.2131,9.49305,0.604669,-80.9692,-38.0083,-16.7601,-120.627,10.5406,1.49079,-76.6996,-13.2486,-14.7893,-62.0679,,,,,
5175,40.1851,-11.8746,-80.4784,5.86736,-36.3344,-81.3935,-17.5422,-12.8704,-138.959,-27.1106,-17.2432,-215.59,14.5999,17.1176,-138.125,22.0466,-8.52983,-81.2176,-17.4386,-42.4705,-86.2589,16.4556,10.691,-122.356,11.2494,16.0209,-118.187,22.5649,13.9436,-79.0848,1.4464,3.96245,-106.483,41.8572,23.8067,-73.5495,12.5683,10.4705,-91.3413,-31.7806,-10.6036,-127.625,15.8531,4.25828,-80.715,-9.36346,-14.385,-63.8805,0.0375,0.03,0.055,1.5707963267948966,0
5030,35.7098,98.7129,-53.5039,1.33151,22.0424,-70.9546,-19.3815,13.4625,-136.707,-27.693,-4.2606,-215.645,-8.81381,34.4048,-43.4507,-9.38412,10.4654,-40.3972,-34.1925,-28.6881,-72.7365,7.72808,18.3396,-118.905,-1.98534,-5.51963,-68.3644,-0.26159,5.83491,-50.4495,-15.1761,4.77901,-94.1749,32.1627,26.7081,-68.5579,6.72497,-8.32195,-70.7485,-44.0822,-22.063,-113.614,4.69579,-1.01653,-72.5599,-17.3783,-15.3416,-60.0931,0.0375,0.03,0.055,-1.5707963267948966,0
5047,36.3966,48.8988,-61.9201,1.03019,-3.10665,-71.8219,-20.9438,2.79722,-135.925,-29.7697,-9.61394,-214.733,0.791748,34.3166,-81.7912,1.5979,6.46156,-54.3045,-30.8216,-33.1373,-75.7855,11.0755,18.2447,-118.626,-0.242619,17.3207,-72.3032,1.59143,15.5143,-51.8017,-14.8543,4.99436,-94.7776,32.3656,24.5446,-68.494,-0.423226,2.80808,-38.2927,-53.7295,-20.4938,-100.439,0.794463,-3.58312,-69.506,-17.8599,-18.3338,-59.5308,0.17250000000000001,0.03,0.055,1.5707963267948966,0
5008,37.9183,37.5243,-69.8313,5.20044,-11.5148,-78.2973,-15.726,-2.5118,-140.206,-25.2409,-12.408,-217.288,3.91135,16.1845,-99.3085,10.6978,-5.41404,-67.3496,-21.7142,-38.238,-83.5812,12.7768,10.8619,-122.503,9.04122,-7.03679,-113.449,20.5479,4.01783,-77.0573,0.896563,3.21961,-106.863,41.6353,26.0137,-73.7821,19.6745,-1.48745,-123.95,-21.7633,-12.3124,-141.127,20.1073,6.79313,-83.6328,-8.6443,-10.7686,-63.8368,0.17250000000000001,0.03,0.055,-1.5707963267948966,0
5045,39.2212,43.4612,-64.7588,5.38001,-6.08594,-74.0713,-15.5209,2.91435,-135.875,-25.1171,-6.77037,-212.671,4.74945,24.9883,-90.0762,9.42957,1.31415,-59.3256,-21.2668,-33.0488,-76.4925,6.282,9.67637,-114.799,6.63068,4.19468,-91.4549,15.5913,9.06919,-62.6828,0.554767,4.75049,-95.394,46.6175,30.114,-60.0716,11.5637,-1.42523,-80.3393,-34.363,-19.9574,-118.122,18.3871,-3.72385,-70.465,1.36489,-19.1093,-44.602,0.17250000000000001,0.18,0.055,1.5707963267948966,0
5037,35.6045,42.7978,-65.9523,0.401512,-8.4806,-76.9844,-21.4877,-2.32806,-139.533,-30.6848,-15.1102,-219.464,0.0620119,25.0257,-91.4783,2.46294,-0.676285,-62.8066,-31.0699,-38.177,-83.7287,17.7438,20.1263,-127.473,1.82424,6.30622,-94.0752,6.18992,10.4915,-66.5639,-14.8094,3.21209,-106.525,26.9549,19.4337,-83.5453,7.93648,3.67457,-81.9307,-41.9988,-13.2939,-122.822,1.50896,6.08302,-82.8131,-29.4736,-10.9306,-80.3251,0.17250000000000001,0.18,0.055,-1.5707963267948966,0
5045,36.9345,39.8843,-65.8156,1.89414,-13.3722,-76.3572,-21.0345,-12.4721,-139.49,-33.1964,-39.1888,-220.903,0.144193,22.467,-91.2025,1.7975,-3.48462,-63.401,-35.2884,-42.7448,-86.8198,21.9917,31.4397,-141.294,1.65396,4.15716,-93.7493,6.36892,8.10839,-67.1535,-15.539,3.61595,-106.967,25.6415,28.4716,-85.4245,7.32526,0.874319,-81.794,-41.5085,-16.5715,-122.623,4.90845,3.74661,-80.5951,-19.2741,-8.8095,-68.9357,0.0375,0.18,0.055,1.5707963267948966,0
5044,37.8525,46.9146,-65.5195,3.52821,-1.05838,-75.1117,-16.8086,13.4927,-136.502,-24.1323,17.5801,-213.108,4.31766,27.7164,-89.5918,9.98768,4.71875,-58.9485,-17.8137,-27.6356,-73.7005,1.20307,-1.33127,-100.775,7.55105,6.80795,-91.4835,15.8176,11.3164,-62.4707,0.466447,5.09479,-94.7173,47.797,21.7637,-57.7095,12.3026,1.49852,-80.3959,-33.9245,-17.1257,-117.997,15.817,-0.415292,-72.2974,-7.47421,-19.738,-55.0821,0.0375,0.18,0.055,-1.5707963267948966,0
5102,48.0508,43.1108,-55.2958,15.4036,-0.917985,-52.7319,-16.9547,12.4901,-104.988,-39.1714,-4.92826,-192.622,11.7799,13.6329,-81.5072,21.2558,-17.5356,-32.1739,-25.6408,-55.915,-27.1266,30.3271,30.8147,-87.8373,1.7262,-13.7772,-95.0549,4.06158,-32.2377,-73.2743,-9.07443,-57.1144,-117.071,40.9212,-17.8593,-80.6178,-2.78132,-8.31597,-91.7661,-55.6317,-27.4923,-152.715,9.66092,-5.76135,-130.064,4.28206,-24.0116,-95.5967,0.0975,0.105,0.055,1.5707963267948966,0
